Tarih,TP_AB_A08
2003-08-01,532859.1
2003-08-04,348787.4
2003-08-05,509700.2
2003-08-06,624749.0
2003-08-07,682263.0
2003-08-08,600615.0
2003-08-11,656075.0
2003-08-12,625021.0
2003-08-13,644527.0
2003-08-14,620207.0
2003-08-15,637528.8
2003-08-18,658334.5
2003-08-19,624807.9
2003-08-20,518332.7
2003-08-21,550795.2
2003-08-22,514216.8
2003-08-25,497737.5
2003-08-26,511648.4
2003-08-27,486792.8
2003-08-28,447079.7
2003-08-29,372304.6
2003-09-01,458676.4
2003-09-02,539649.6
2003-09-03,460349.5
2003-09-04,431051.7
2003-09-05,489846.2
2003-09-08,560223.0
2003-09-09,635687.7
2003-09-10,627143.8
2003-09-11,704316.3
2003-09-12,703624.0
2003-09-15,751978.4
2003-09-16,806811.0
2003-09-17,811580.1
2003-09-18,780845.4
2003-09-19,827137.0
2003-09-22,867830.8
2003-09-23,1060446.4
2003-09-24,1103899.9
2003-09-25,1090550.2
2003-09-26,956236.7
2003-09-29,963179.5
2003-09-30,833576.2
2003-10-01,863228.9
2003-10-02,842438.3
2003-10-03,739350.1
2003-10-06,834838.7
2003-10-07,1052102.0
2003-10-08,1011773.0
2003-10-09,1029144.0
2003-10-10,977776.0
2003-10-13,912184.0
2003-10-14,806518.0
2003-10-15,621909.8
2003-10-16,745048.3
2003-10-17,666411.7
2003-10-20,418034.1
2003-10-21,234817.2
2003-10-22,253516.5
2003-10-23,98561.2
2003-10-24,154001.6
2003-10-27,38373.6
2003-10-28,-124319.6
2003-10-29,
2003-10-30,-122643.6
2003-10-31,-29261.9
2003-11-03,54095.0
2003-11-04,108630.2
2003-11-05,102044.3
2003-11-06,59424.9
2003-11-07,-102424.4
2003-11-10,-189704.0
2003-11-11,-51501.5
2003-11-12,3401.9
2003-11-13,8316.8
2003-11-14,111865.2
2003-11-17,343915.4
2003-11-18,385718.2
2003-11-19,421024.1
2003-11-20,538884.6
2003-11-21,401836.0
2003-11-24,426936.9
2003-11-25,
2003-11-26,
2003-11-27,
2003-11-28,426697.9
2003-12-01,529229.8
2003-12-02,600265.4
2003-12-03,555333.1
2003-12-04,582831.1
2003-12-05,619580.4
2003-12-08,641990.1
2003-12-09,757446.7
2003-12-10,836746.0
2003-12-11,819228.1
2003-12-12,745932.4
2003-12-15,806452.1
2003-12-16,820349.6
2003-12-17,917841.7
2003-12-18,875719.4
2003-12-19,926977.3
2003-12-22,931099.7
2003-12-23,906484.5
2003-12-24,910614.3
2003-12-25,932985.9
2003-12-26,1003615.0
2003-12-29,1034339.0
2003-12-30,1044796.0
2003-12-31,723478.0
2004-01-01,
2004-01-02,780197.9
2004-01-05,801513.9
2004-01-06,943053.4
2004-01-07,1023710.4
2004-01-08,998468.4
2004-01-09,994611.7
2004-01-12,1083405.2
2004-01-13,1290188.7
2004-01-14,1280128.2
2004-01-15,1186007.0
2004-01-16,1237775.4
2004-01-19,1213657.1
2004-01-20,1073176.4
2004-01-21,1215622.4
2004-01-22,1299453.4
2004-01-23,1345041.7
2004-01-26,1369909.8
2004-01-27,1334160.4
2004-01-28,1338435.4
2004-01-29,1333037.7
2004-01-30,1219012.0
2004-02-02,
2004-02-03,
2004-02-04,
2004-02-05,1162891.0
2004-02-06,1346749.1
2004-02-09,1266929.1
2004-02-10,1270945.5
2004-02-11,1302077.1
2004-02-12,1298062.0
2004-02-13,1433553.5
2004-02-16,1462306.8
2004-02-17,1479868.4
2004-02-18,1532506.0
2004-02-19,1522474.6
2004-02-20,1435039.9
2004-02-23,1407943.5
2004-02-24,1387823.9
2004-02-25,1473771.3
