Tarih,TP_HPBITABLO1_11,TP_HPBITABLO1_11
2019-03-01,2019-9,1971840688.6
2019-03-08,2019-10,1991419212.0
2019-03-15,2019-11,2039479295.8
2019-03-22,2019-12,2054995840.8
2019-03-29,2019-13,2068385764.9
2019-04-05,2019-14,2068572936.4
2019-04-12,2019-15,2088105319.3
2019-04-19,2019-16,2125913223.0
2019-04-26,2019-17,2139606278.7
2019-05-03,2019-18,2147621171.4
2019-05-10,2019-19,2198660241.7
2019-05-17,2019-20,2169933562.6
2019-05-24,2019-21,2198505939.1
2019-05-31,2019-22,2170597779.3
2019-06-07,2019-23,2169328067.5
2019-06-14,2019-24,2153731698.1
2019-06-21,2019-25,2156130725.2
2019-06-28,2019-26,2160946420.4
2019-07-05,2019-27,2121451168.8
2019-07-12,2019-28,2149175629.9
2019-07-19,2019-29,2171057584.1
2019-07-26,2019-30,2178870725.8
2019-08-02,2019-31,2163992495.7
2019-08-09,2019-32,2193601658.3
2019-08-16,2019-33,2228591327.3
2019-08-23,2019-34,2255110014.2
2019-08-30,2019-35,2266858791.4
2019-09-06,2019-36,2252199934.6
2019-09-13,2019-37,2271145401.7
2019-09-20,2019-38,2285525288.8
2019-09-27,2019-39,2289754176.9
2019-10-04,2019-40,2284899324.5
2019-10-11,2019-41,2330686668.8
2019-10-18,2019-42,2355918485.7
2019-10-25,2019-43,2337370122.6
2019-11-01,2019-44,2326207135.2
2019-11-08,2019-45,2334065308.8
2019-11-15,2019-46,2359375517.4
2019-11-22,2019-47,2346388785.3
2019-11-29,2019-48,2356091243.8
2019-12-06,2019-49,2366032071.8
2019-12-13,2019-50,2387377339.5
2019-12-20,2019-51,2438523005.5
2019-12-27,2019-52,2457542437.8
2020-01-03,2020-1,2451969169.0
2020-01-10,2020-2,2438594271.9
2020-01-17,2020-3,2458179586.5
2020-01-24,2020-4,2477797676.9
2020-01-31,2020-5,2479865710.1
2020-02-07,2020-6,2494053278.2
2020-02-14,2020-7,2512510181.1
2020-02-21,2020-8,2530757024.1
2020-02-28,2020-9,2551440452.3
2020-03-06,2020-10,2552996349.4
2020-03-13,2020-11,2583509259.4
2020-03-20,2020-12,2651019738.1
2020-03-27,2020-13,2666783276.8
2020-04-03,2020-14,2726652717.1
2020-04-10,2020-15,2766342934.4
2020-04-17,2020-16,2854564857.9
2020-04-24,2020-17,2912202302.9
2020-05-01,2020-18,2919350256.6
2020-05-08,2020-19,2963635679.7
2020-05-15,2020-20,2949148667.0
2020-05-22,2020-21,2931069344.7
2020-05-29,2020-22,2917990084.9
2020-06-05,2020-23,2918845160.1
2020-06-12,2020-24,2951054926.6
2020-06-19,2020-25,2997651995.3
2020-06-26,2020-26,3012656570.5
2020-07-03,2020-27,3017774900.8
2020-07-10,2020-28,3031866774.3
2020-07-17,2020-29,3061067923.6
2020-07-24,2020-30,3101148967.1
2020-07-31,2020-31,3143661555.3
2020-08-07,2020-32,3198858471.4
2020-08-14,2020-33,3225674387.2
2020-08-21,2020-34,3210366020.9
2020-08-28,2020-35,3202286354.4
2020-09-04,2020-36,3223558695.6
2020-09-11,2020-37,3239616329.7
2020-09-18,2020-38,3262282532.2
2020-09-25,2020-39,3274813446.1
2020-10-02,2020-40,3275614751.8
2020-10-09,2020-41,3326811087.3
2020-10-16,2020-42,3333603735.5
2020-10-23,2020-43,3333121299.1
2020-10-30,2020-44,3382013219.9
2020-11-06,2020-45,3472452408.5
2020-11-13,2020-46,3326845333.8
2020-11-20,2020-47,3309701665.2
2020-11-27,2020-48,3354279178.7
2020-12-04,2020-49,3371209744.1
2020-12-11,2020-50,3380686606.6
2020-12-18,2020-51,3390642505.8
2020-12-25,2020-52,3374869073.9
2021-01-01,2021-1,3325045394.9
2021-01-08,2021-2,3303067716.7
2021-01-15,2021-3,3327365027.7
2021-01-22,2021-4,3336150677.1
2021-01-29,2021-5,3321181384.7
2021-02-05,2021-6,3252683995.9
2021-02-12,2021-7,3251997120.5
2021-02-19,2021-8,3235387933.5
2021-02-26,2021-9,3287004833.8
2021-03-05,2021-10,3329290073.6
2021-03-12,2021-11,3339097567.7
2021-03-19,2021-12,3362969975.6
2021-03-26,2021-13,3457504006.1
2021-04-02,2021-14,3509638061.8
2021-04-09,2021-15,3525047790.5
2021-04-16,2021-16,3526183705.7
2021-04-23,2021-17,3555495204.8
2021-04-30,2021-18,3560730233.6
2021-05-07,2021-19,3616423874.0
2021-05-14,2021-20,3631400649.2
2021-05-21,2021-21,3666182474.0
2021-05-28,2021-22,3690622380.6
2021-06-04,2021-23,3734633327.5
2021-06-11,2021-24,3733242020.7
2021-06-18,2021-25,3754914328.8
2021-06-25,2021-26,3777715793.8
2021-07-02,2021-27,3778262693.8
2021-07-09,2021-28,3815659847.4
2021-07-16,2021-29,3863447605.6
2021-07-23,2021-30,3843501038.8
2021-07-30,2021-31,3824173759.7
2021-08-06,2021-32,3836068642.8
2021-08-13,2021-33,3863183486.2
2021-08-20,2021-34,3835741812.5
2021-08-27,2021-35,3828860351.4
2021-09-03,2021-36,3834371813.2
2021-09-10,2021-37,3892613480.5
2021-09-17,2021-38,3906923702.4
2021-09-24,2021-39,3979081247.3
2021-10-01,2021-40,4008525168.7
2021-10-08,2021-41,4022951480.7
2021-10-15,2021-42,4127515529.1
2021-10-22,2021-43,4184719264.4
2021-10-29,2021-44,4224347181.5
2021-11-05,2021-45,4278656841.3
2021-11-12,2021-46,4363349528.9
2021-11-19,2021-47,4530073418.0
2021-11-26,2021-48,4814409122.5
2021-12-03,2021-49,5148841213.7
2021-12-10,2021-50,5240449310.3
2021-12-17,2021-51,5603788688.8
2021-12-24,2021-52,4692619394.0
